"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"506","CEDRIC","HARRY","It's not a bad place for a bath. Just take your egg and mull things over in the hot water.","it's not a bad place for a bath. just take your egg and mull things over in the hot water.","it's not a bad place for a bath. just take your egg and mull things over in the hot water.","   bad place   bath. just take  egg  mull things    hot water.","   bad place   bath just take  egg  mull things    hot water","   bad place   bath just take  egg  mull things    hot water"," bad place bath just take egg mull things hot water","bad place bath just take egg mull thing hot water"
"507","HARRY","CEDRIC","I must be out of my mind.  ","i must be out of my mind.  ","i must be out of my mind.  "," must     mind.  "," must     mind  "," must     mind  "," must mind ","must mind"
"508","MYRTLE","HARRY","I'd try putting it in the water if I were you. ","i'd try putting it in the water if i were you. ","i'd try putting it in the water if i were you. "," try putting    water    . "," try putting    water     "," try putting    water     "," try putting water ","try putting water"
"509","HARRY","MYRTLE","Myrtle!  ","myrtle!  ","myrtle!  ","myrtle!  ","myrtle  ","myrtle  ","myrtle ","myrtle"
"510","MYRTLE","HARRY","Long time no see.  ","long time no see.  ","long time no see.  ","long time  see.  ","long time  see  ","long time  see  ","long time see ","long time see"
"511","MYRTLE","HARRY","I was circling a blocked drain the other day and could swear I saw a bit of polyjuice potion. Not being a bad boy again are you Harry?  ","i was circling a blocked drain the other day and could swear i saw a bit of polyjuice potion. not being a bad boy again are you harry?  ","i was circling a blocked drain the other day and could swear i saw a bit of polyjuice potion. not being a bad boy again are you harry?  ","  circling  blocked drain   day   swear  saw  bit  polyjuice potion.    bad boy    harry?  ","  circling  blocked drain   day   swear  saw  bit  polyjuice potion    bad boy    harry  ","  circling  blocked drain   day   swear  saw  bit  polyjuice potion    bad boy    harry  "," circling blocked drain day swear saw bit polyjuice potion bad boy harry ","circle block drain day swear see bite polyjuice potion bad boy harry"
"512","HARRY","MYRTLE","Polyjuice potion! Kicked the habit. Myrtle, did you say try putting it in the water?","polyjuice potion! kicked the habit. myrtle, did you say try putting it in the water?","polyjuice potion! kicked the habit. myrtle, did you say try putting it in the water?","polyjuice potion! kicked  habit. myrtle,   say try putting    water?","polyjuice potion kicked  habit myrtle   say try putting    water","polyjuice potion kicked  habit myrtle   say try putting    water","polyjuice potion kicked habit myrtle say try putting water","polyjuice potion kick habit myrtle say try putting water"
"513","MYRTLE","HARRY","Well. That's what he did. The other boy, the handsome one. Cedric. ","well. that's what he did. the other boy, the handsome one. cedric. ","well. that's what he did. the other boy, the handsome one. cedric. ","well.    .   boy,  handsome one. cedric. ","well       boy  handsome one cedric ","well       boy  handsome one cedric ","well boy handsome one cedric ","good boy handsome one cedric"
"514","MYRTLE","HARRY","Well go on, open it.  ","well go on, open it.  ","well go on, open it.  ","well go , open .  ","well go  open   ","well go  open   ","well go open ","good go open"
"515","VOICE SINGING","","Come seek us where our voices sound. We cannot sing above the ground. An hour long you'll have to look, to recover what we took.  ","come seek us where our voices sound. we cannot sing above the ground. an hour long you'll have to look, to recover what we took.  ","come seek us where our voices sound. we cannot sing above the ground. an hour long you'll have to look, to recover what we took.  ","come seek us   voices sound.   sing   ground.  hour long    look,  recover   took.  ","come seek us   voices sound   sing   ground  hour long    look  recover   took  ","come seek us   voices sound   sing   ground  hour long    look  recover   took  ","come seek us voices sound sing ground hour long look recover took ","come seek us voice sound sing grind hour long look recover take"
"516","HARRY","MYRTLE","Myrtle, there aren't Merpeople in the black lake are there? ","myrtle, there aren't merpeople in the black lake are there? ","myrtle, there aren't merpeople in the black lake are there? ","myrtle,   merpeople   black lake  ? ","myrtle   merpeople   black lake   ","myrtle   merpeople   black lake   ","myrtle merpeople black lake ","myrtle merpeople black lake"
"517","MYRTLE","HARRY","Ahhh, very good. Took Cedric ages to riddle it out. Almost all the bubbles were gone...","ahhh, very good. took cedric ages to riddle it out. almost all the bubbles were gone...","ahhh, very good. took cedric ages to riddle it out. almost all the bubbles were gone...","ahhh,  good. took cedric ages  riddle  . almost   bubbles  gone...","ahhh  good took cedric ages  riddle   almost   bubbles  gone","ahhh  good took cedric ages  riddle   almost   bubbles  gone","ahhh good took cedric ages riddle almost bubbles gone","ahhh good take cedric age riddle almost bubble go"
"518","HERMIONE","HARRY","Harry, tell me again.  ","harry, tell me again.  ","harry, tell me again.  ","harry, tell  .  ","harry tell    ","harry tell    ","harry tell ","harry tell"
"519","HARRY","HERMIONE","Come seek us where our voices sound.  ","come seek us where our voices sound.  ","come seek us where our voices sound.  ","come seek us   voices sound.  ","come seek us   voices sound  ","come seek us   voices sound  ","come seek us voices sound ","come seek us voice sound"
"520","HERMIONE","HARRY","The black lake, that's obvious.  ","the black lake, that's obvious.  ","the black lake, that's obvious.  "," black lake,  obvious.  "," black lake  obvious  "," black lake  obvious  "," black lake obvious ","black lake obvious"
"521","HARRY","HERMIONE","An hour long you'll have to look.  ","an hour long you'll have to look.  ","an hour long you'll have to look.  "," hour long    look.  "," hour long    look  "," hour long    look  "," hour long look ","hour long look"
"522","HERMIONE","HARRY","Again obvious, though I must admit potentially problematic","again obvious, though i must admit potentially problematic","again obvious, though i must admit potentially problematic"," obvious, though  must admit potentially problematic"," obvious though  must admit potentially problematic"," obvious though  must admit potentially problematic"," obvious though must admit potentially problematic","obvious though must admit potentially problematic"
"523","HARRY","HERMIONE","Potentially problematic? When was the last time you held your breath under the water for an hour Hermione?","potentially problematic? when was the last time you held your breath under the water for an hour hermione?","potentially problematic? when was the last time you held your breath under the water for an hour hermione?","potentially problematic?    last time  held  breath   water   hour hermione?","potentially problematic    last time  held  breath   water   hour hermione","potentially problematic    last time  held  breath   water   hour hermione","potentially problematic last time held breath water hour hermione","potentially problematic last time hold breath water hour hermione"
"524","HERMIONE","HARRY","Look Harry, we can do this. The three of us can figure it out. ","look harry, we can do this. the three of us can figure it out. ","look harry, we can do this. the three of us can figure it out. ","look harry,  can  .  three  us can figure  . ","look harry  can    three  us can figure   ","look harry  can    three  us can figure   ","look harry can three us can figure ","look harry can three us can figure"
"525","ALASTOR ","HERMIONE","Hate to break up this scholar session but Professor McGonagall would like to see you in her office. Not you Potter, just Weasly and Granger.  ","hate to break up this scholar session but professor mcgonagall would like to see you in her office. not you potter, just weasly and granger.  ","hate to break up this scholar session but professor mcgonagall would like to see you in her office. not you potter, just weasly and granger.  ","hate  break   scholar session  professor mcgonagall  like  see    office.   potter, just weasly  granger.  ","hate  break   scholar session  professor mcgonagall  like  see    office   potter just weasly  granger  ","hate  break   scholar session  professor mcgonagall  like  see    office   potter just weasly  granger  ","hate break scholar session professor mcgonagall like see office potter just weasly granger ","hate break scholar session professor mcgonagall like see office potter just weasly granger"
"526","HERMIONE","ALASTOR ","But SIRIUS, the second task is only hours away and... ","but sirius, the second task is only hours away and... ","but sirius, the second task is only hours away and... "," sirius,  second task   hours away ... "," sirius  second task   hours away  "," sirius  second task   hours away  "," sirius second task hours away ","sirius 2 task hour away"
